City/municipality,State/ Country,Population,Focus,Aggregation,Average Score,Disparity,Infra ratio,Dest ratio,Highest Point,Focus Disparity,Accuracy Score,Continent,Subdivision,latitude,longitude,Safe Area (sq mi),Bike Network (mi),Bike Network %,Bike Paths (mi),Bike Paths %,Bike Lanes (mi),Bike Lanes %,Friendly (mi),Friendly %,Shared Road %,Other %,Total Network,Destinations,Bike Parking,Destination Score,Bad Ints  / mi,Furthest Reach #1 (mi),Furthest Reach #2 (mi),Furthest Reach #3 (mi),PFB rank dif,Copenhagen rank dif
Bologna,Italy,"394,608",Destination,Best Area,77.0,0.2,95%,104%,77.2,-6.7,66,EU,,44.49,11.34,,,,,,,,,,,,,,,,,,,,,
Potsdam,Germany,"183,154",Infrastructure,City Wide,70.2,4.3,101%,99%,74.9,1.0,96,EU,,52.40,13.06,,,,,,,,,,,,,,,,,,,,,
Potsdam,Germany,"183,154",Infrastructure,Best Area,74.5,1.3,101%,99%,75.8,1.7,96,EU,,52.40,13.06,,,,,,,,,,,,,,,,,,,,,
Potsdam,Germany,"183,154",Balanced,City Wide,69.7,3.9,101%,99%,73.8,1.0,96,EU,,52.40,13.06,,,,,,,,,,,,,,,,,,,,,
Potsdam,Germany,"183,154",Balanced,Best Area,73.6,1.0,101%,99%,74.6,1.7,96,EU,,52.40,13.06,,,,,,,,,,,,,,,,,,,,,
Potsdam,Germany,"183,154",Destination,City Wide,69.2,3.6,101%,99%,72.9,1.0,96,EU,,52.40,13.06,,,,,,,,,,,,,,,,,,,,,
Potsdam,Germany,"183,154",Destination,Best Area,72.8,0.7,101%,99%,73.5,1.7,96,EU,,52.40,13.06,,,,,,,,,,,,,,,,,,,,,
Rostock,Germany,"209,061",Infrastructure,City Wide,72.5,2.0,101%,99%,74.9,1.0,86,EU,,54.09,12.14,,,,,,,,,,,,,,,,,,,,,
Rostock,Germany,"209,061",Infrastructure,Best Area,74.5,0.7,101%,99%,75.2,2.0,86,EU,,54.09,12.14,,,,,,,,,,,,,,,,,,,,,
Rostock,Germany,"209,061",Balanced,City Wide,72.0,1.5,101%,99%,73.7,1.0,86,EU,,54.09,12.14,,,,,,,,,,,,,,,,,,,,,
Rostock,Germany,"209,061",Balanced,Best Area,73.5,0.4,101%,99%,73.9,2.0,86,EU,,54.09,12.14,,,,,,,,,,,,,,,,,,,,,
Rostock,Germany,"209,061",Destination,City Wide,71.5,1.0,101%,99%,72.6,1.0,86,EU,,54.09,12.14,,,,,,,,,,,,,,,,,,,,,
Rostock,Germany,"209,061",Destination,Best Area,72.5,0.2,101%,99%,72.7,2.0,86,EU,,54.09,12.14,,,,,,,,,,,,,,,,,,,,,
Zurich,Switzerland,"436,551",Infrastructure,City Wide,65.0,2.4,92%,108%,67.5,-11.4,89,EU,,47.37,8.54,,,,,,,,,,,,,,,,,,,,,
Zurich,Switzerland,"436,551",Infrastructure,Best Area,67.4,0.9,92%,108%,68.3,-11.9,89,EU,,47.37,8.54,,,,,,,,,,,,,,,,,,,,,
Zurich,Switzerland,"436,551",Balanced,City Wide,70.8,2.7,92%,108%,73.8,-11.4,89,EU,,47.37,8.54,,,,,,,,,,,,,,,,,,,,,
Zurich,Switzerland,"436,551",Balanced,Best Area,73.5,1.0,92%,108%,74.5,-11.9,89,EU,,47.37,8.54,,,,,,,,,,,,,,,,,,,,,
Zurich,Switzerland,"436,551",Destination,City Wide,76.4,2.9,92%,108%,79.5,-11.4,89,EU,,47.37,8.54,,,,,,,,,,,,,,,,,,,,,
Zurich,Switzerland,"436,551",Destination,Best Area,79.3,1.0,92%,108%,80.3,-11.9,89,EU,,47.37,8.54,,,,,,,,,,,,,,,,,,,,,
Greater Melbourne*,VIC,"5,400,000",Infrastructure,City Wide,60.1,14.1,104%,95%,76.4,5.3,56,Other,,-37.81,144.96,,,,,,,,,,,,,,,,,,,,,
Greater Melbourne*,VIC,"5,400,000",Infrastructure,Best Area,74.2,9.8,101%,100%,84.0,1.1,75,Other,,-37.81,144.96,,,,,,,,,,,,,,,,,,,,,
Greater Melbourne*,VIC,"5,400,000",Balanced,City Wide,57.6,15.7,104%,95%,79.3,5.3,55,Other,,-37.81,144.96,,,,,,,,,,,,,,,,,,,,,
Greater Melbourne*,VIC,"5,400,000",Balanced,Best Area,73.3,12.4,101%,100%,85.7,1.1,75,Other,,-37.81,144.96,,,,,,,,,,,,,,,,,,,,,
Greater Melbourne*,VIC,"5,400,000",Destination,City Wide,54.8,18.3,104%,95%,84.0,5.3,55,Other,,-37.81,144.96,,,,,,,,,,,,,,,,,,,,,
Greater Melbourne*,VIC,"5,400,000",Destination,Best Area,73.1,14.3,101%,100%,87.4,1.1,75,Other,,-37.81,144.96,,,,,,,,,,,,,,,,,,,,,
City of Sydney,NSW,"241,797",Infrastructure,City Wide,66.2,0.4,91%,109%,66.6,-12.9,80,Other,Yes,-33.89,151.21,,,,,,,,,,,,,,,,,,,,,
City of Sydney,NSW,"241,797",Infrastructure,Best Area,66.6,0.3,91%,108%,66.9,-12.7,80,Other,Yes,-33.89,151.21,,,,,,,,,,,,,,,,,,,,,
City of Sydney,NSW,"241,797",Balanced,City Wide,72.9,0.3,91%,109%,73.2,-12.9,80,Other,Yes,-33.89,151.21,,,,,,,,,,,,,,,,,,,,,
City of Sydney,NSW,"241,797",Balanced,Best Area,73.2,0.2,91%,108%,73.4,-12.7,80,Other,Yes,-33.89,151.21,,,,,,,,,,,,,,,,,,,,,
City of Sydney,NSW,"241,797",Destination,City Wide,79.1,0.2,91%,109%,79.3,-12.9,80,Other,Yes,-33.89,151.21,,,,,,,,,,,,,,,,,,,,,
City of Sydney,NSW,"241,797",Destination,Best Area,79.3,0.1,91%,108%,79.4,-12.7,80,Other,Yes,-33.89,151.21,,,,,,,,,,,,,,,,,,,,,
Geneva,Switzerland,"200,000",Infrastructure,City Wide,68.0,0.7,94%,106%,68.7,-9.1,83,EU,,46.20,6.15,,,,,,,,,,,,,,,,,,,,,
Geneva,Switzerland,"200,000",Infrastructure,Best Area,68.7,0.1,94%,106%,68.8,-8.7,83,EU,,46.20,6.15,,,,,,,,,,,,,,,,,,,,,
Geneva,Switzerland,"200,000",Balanced,City Wide,72.7,0.5,94%,106%,73.2,-9.1,83,EU,,46.20,6.15,,,,,,,,,,,,,,,,,,,,,
Geneva,Switzerland,"200,000",Balanced,Best Area,73.2,0.1,94%,106%,73.3,-8.7,83,EU,,46.20,6.15,,,,,,,,,,,,,,,,,,,,,
Geneva,Switzerland,"200,000",Destination,City Wide,77.1,0.3,94%,106%,77.4,-9.1,83,EU,,46.20,6.15,,,,,,,,,,,,,,,,,,,,,
Geneva,Switzerland,"200,000",Destination,Best Area,77.4,0.1,94%,106%,77.5,-8.7,83,EU,,46.20,6.15,,,,,,,,,,,,,,,,,,,,,
Zaragoza,Spain,"700,000",Infrastructure,City Wide,45.4,22.2,95%,105%,67.6,-4.8,45,EU,,41.69,-0.91,,,,,,,,,,,,,,,,,,,,,
Zaragoza,Spain,"700,000",Infrastructure,Best Area,67.6,0.3,92%,107%,67.9,-10.8,45,EU,,41.69,-0.91,,,,,,,,,,,,,,,,,,,,,
Zaragoza,Spain,"700,000",Balanced,City Wide,47.9,25.3,95%,105%,73.2,-4.8,45,EU,,41.69,-0.91,,,,,,,,,,,,,,,,,,,,,
Zaragoza,Spain,"700,000",Balanced,Best Area,73.2,0.2,92%,107%,73.4,-10.8,45,EU,,41.69,-0.91,,,,,,,,,,,,,,,,,,,,,
Zaragoza,Spain,"700,000",Destination,City Wide,50.2,28.2,95%,105%,78.5,-4.8,45,EU,,41.69,-0.91,,,,,,,,,,,,,,,,,,,,,
Zaragoza,Spain,"700,000",Destination,Best Area,78.4,0.2,92%,107%,78.6,-10.8,45,EU,,41.69,-0.91,,,,,,,,,,,,,,,,,,,,,
Bristol,United Kingdom,"503,753",Infrastructure,City Wide,66.0,4.1,95%,105%,70.3,-6.9,80,EU,,51.45,-2.60,,,,,,,,,,,,,,,,,,,,,
Bristol,United Kingdom,"503,753",Infrastructure,Best Area,70.1,1.4,96%,104%,71.5,-6.0,80,EU,,51.45,-2.60,,,,,,,,,,,,,,,,,,,,,
Bristol,United Kingdom,"503,753",Balanced,City Wide,69.6,3.5,95%,105%,73.3,-6.9,80,EU,,51.45,-2.60,,,,,,,,,,,,,,,,,,,,,
Bristol,United Kingdom,"503,753",Balanced,Best Area,73.1,1.6,96%,104%,74.7,-6.0,80,EU,,51.45,-2.60,,,,,,,,,,,,,,,,,,,,,
Bristol,United Kingdom,"503,753",Destination,City Wide,72.9,3.2,95%,105%,76.5,-6.9,80,EU,,51.45,-2.60,,,,,,,,,,,,,,,,,,,,,
Bristol,United Kingdom,"503,753",Destination,Best Area,76.1,1.7,96%,104%,77.8,-6.0,80,EU,,51.45,-2.60,,,,,,,,,,,,,,,,,,,,,
Glasgow,UK,"656,221",Infrastructure,City Wide,64.7,6.1,96%,104%,71.6,-5.5,86,EU,,55.86,-4.23,,,,,,,,,,,,,,,,,,,,,
Glasgow,UK,"656,221",Infrastructure,Best Area,70.8,1.3,97%,103%,72.1,-4.5,86,EU,,55.86,-4.23,,,,,,,,,,,,,,,,,,,,,
Glasgow,UK,"656,221",Balanced,City Wide,67.5,5.6,96%,104%,73.5,-5.5,86,EU,,55.86,-4.23,,,,,,,,,,,,,,,,,,,,,
Glasgow,UK,"656,221",Balanced,Best Area,73.1,1.0,97%,103%,74.1,-4.5,86,EU,,55.86,-4.23,,,,,,,,,,,,,,,,,,,,,
Glasgow,UK,"656,221",Destination,City Wide,70.2,5.1,96%,104%,75.5,-5.5,86,EU,,55.86,-4.23,,,,,,,,,,,,,,,,,,,,,
Glasgow,UK,"656,221",Destination,Best Area,75.3,0.7,97%,103%,76.0,-4.5,86,EU,,55.86,-4.23,,,,,,,,,,,,,,,,,,,,,
Dublin,Ireland,"599,094",Infrastructure,City Wide,64.9,4.4,90%,96%,67.8,-4.5,80,EU,,53.35,-6.26,,,,,,,,,,,,,,,,,,,,,
Dublin,Ireland,"599,094",Infrastructure,Best Area,67.6,1.4,93%,106%,69.0,-9.7,80,EU,,53.35,-6.26,,,,,,,,,,,,,,,,,,,,,
Dublin,Ireland,"599,094",Balanced,City Wide,69.7,2.9,108%,107%,72.7,0.8,80,EU,,53.35,-6.26,,,,,,,,,,,,,,,,,,,,,
Dublin,Ireland,"599,094",Balanced,Best Area,72.6,1.0,93%,106%,73.6,-9.7,80,EU,,53.35,-6.26,,,,,,,,,,,,,,,,,,,,,
Dublin,Ireland,"599,094",Destination,City Wide,74.5,2.8,108%,107%,77.4,0.8,80,EU,,53.35,-6.26,,,,,,,,,,,,,,,,,,,,,
Dublin,Ireland,"599,094",Destination,Best Area,77.3,0.7,93%,106%,78.0,-9.7,80,EU,,53.35,-6.26,,,,,,,,,,,,,,,,,,,,,
Christchurch,New Zealand,"352,836",Infrastructure,City Wide,67.0,5.3,101%,99%,72.5,1.0,93,Other,,-43.53,172.64,,,,,,,,,,,,,,,,,,,,,
Christchurch,New Zealand,"352,836",Infrastructure,Best Area,72.3,0.6,100%,100%,72.9,-0.2,93,Other,,-43.53,172.64,,,,,,,,,,,,,,,,,,,,,
Christchurch,New Zealand,"352,836",Balanced,City Wide,66.5,5.9,101%,99%,72.6,1.0,93,Other,,-43.53,172.64,,,,,,,,,,,,,,,,,,,,,
Christchurch,New Zealand,"352,836",Balanced,Best Area,72.4,0.6,100%,100%,73.0,-0.2,93,Other,,-43.53,172.64,,,,,,,,,,,,,,,,,,,,,
Christchurch,New Zealand,"352,836",Destination,City Wide,66.0,6.5,101%,99%,72.6,1.0,93,Other,,-43.53,172.64,,,,,,,,,,,,,,,,,,,,,
Christchurch,New Zealand,"352,836",Destination,Best Area,72.5,0.6,100%,100%,73.1,-0.2,93,Other,,-43.53,172.64,,,,,,,,,,,,,,,,,,,,,
Budapest,Hungary,"1,735,041",Infrastructure,City Wide,54.6,9.4,93%,106%,65.2,-7.8,86,EU,,47.50,19.04,,,,,,,,,,,,,,,,,,,,,
Budapest,Hungary,"1,735,041",Infrastructure,Best Area,64.0,2.5,88%,110%,66.5,-16.0,86,EU,,47.50,19.04,,,,,,,,,,,,,,,,,,,,,
Budapest,Hungary,"1,735,041",Balanced,City Wide,58.7,13.7,93%,106%,73.5,-7.8,86,EU,,47.50,19.04,,,,,,,,,,,,,,,,,,,,,
Budapest,Hungary,"1,735,041",Balanced,Best Area,72.4,2.5,88%,110%,74.9,-16.0,86,EU,,47.50,19.04,,,,,,,,,,,,,,,,,,,,,
Budapest,Hungary,"1,735,041",Destination,City Wide,62.4,17.6,93%,106%,81.4,-7.8,86,EU,,47.50,19.04,,,,,,,,,,,,,,,,,,,,,
Budapest,Hungary,"1,735,041",Destination,Best Area,80.0,2.5,88%,110%,82.5,-16.0,86,EU,,47.50,19.04,,,,,,,,,,,,,,,,,,,,,
Dortmund,Germany,"614,495",Infrastructure,City Wide,65.2,5.6,102%,98%,71.2,2.2,88,EU,,51.51,7.47,,,,,,,,,,,,,,,,,,,,,
Dortmund,Germany,"614,495",Infrastructure,Best Area,70.8,1.0,98%,102%,71.8,-2.7,88,EU,,51.51,7.47,,,,,,,,,,,,,,,,,,,,,
Dortmund,Germany,"614,495",Balanced,City Wide,64.1,8.1,102%,98%,72.5,2.2,88,EU,,51.51,7.47,,,,,,,,,,,,,,,,,,,,,
Dortmund,Germany,"614,495",Balanced,Best Area,72.2,0.8,98%,102%,73.0,-2.7,88,EU,,51.51,7.47,,,,,,,,,,,,,,,,,,,,,
Dortmund,Germany,"614,495",Destination,City Wide,63.0,10.5,102%,98%,73.7,2.2,88,EU,,51.51,7.47,,,,,,,,,,,,,,,,,,,,,
Dortmund,Germany,"614,495",Destination,Best Area,73.5,0.8,98%,102%,74.3,-2.7,88,EU,,51.51,7.47,,,,,,,,,,,,,,,,,,,,,
Seville,Spain,"703,878",Infrastructure,City Wide,64.9,1.2,92%,108%,66.2,-11.4,46,EU,,37.39,-6.00,,,,,,,,,,,,,,,,,,,,,
Seville,Spain,"703,878",Infrastructure,Best Area,66.1,0.5,92%,107%,66.6,-10.6,46,EU,,37.39,-6.00,,,,,,,,,,,,,,,,,,,,,
Seville,Spain,"703,878",Balanced,City Wide,70.9,0.7,92%,108%,71.6,-11.4,46,EU,,37.39,-6.00,,,,,,,,,,,,,,,,,,,,,
Seville,Spain,"703,878",Balanced,Best Area,71.6,0.3,92%,107%,71.9,-10.6,46,EU,,37.39,-6.00,,,,,,,,,,,,,,,,,,,,,
Seville,Spain,"703,878",Destination,City Wide,76.3,0.4,92%,108%,76.8,-11.4,46,EU,,37.39,-6.00,,,,,,,,,,,,,,,,,,,,,
Seville,Spain,"703,878",Destination,Best Area,76.7,0.2,92%,107%,76.9,-10.6,46,EU,,37.39,-6.00,,,,,,,,,,,,,,,,,,,,,
Uppsala,Sweden,"180,000",Infrastructure,City Wide,42.5,33.7,108%,92%,76.4,6.5,81,EU,,59.87,17.60,,,,,,,,,,,,,,,,,,,,,
Uppsala,Sweden,"180,000",Infrastructure,Best Area,76.2,0.4,107%,93%,76.6,10.0,81,EU,,59.87,17.60,,,,,,,,,,,,,,,,,,,,,
Uppsala,Sweden,"180,000",Balanced,City Wide,39.3,32.1,108%,92%,71.4,6.5,81,EU,,59.87,17.60,,,,,,,,,,,,,,,,,,,,,
Uppsala,Sweden,"180,000",Balanced,Best Area,71.4,0.2,107%,93%,71.6,10.0,81,EU,,59.87,17.60,,,,,,,,,,,,,,,,,,,,,
Uppsala,Sweden,"180,000",Destination,City Wide,36.0,30.2,108%,92%,66.2,6.5,81,EU,,59.87,17.60,,,,,,,,,,,,,,,,,,,,,
Uppsala,Sweden,"180,000",Destination,Best Area,66.2,0.1,107%,93%,66.3,10.0,81,EU,,59.87,17.60,,,,,,,,,,,,,,,,,,,,,
Vilnius,Lithuania,"607,667",Infrastructure,City Wide,55.5,15.2,102%,97%,71.1,2.8,81,EU,,54.69,25.28,,,,,,,,,,,,,,,,,,,,,
Vilnius,Lithuania,"607,667",Infrastructure,Best Area,70.7,1.3,99%,101%,72.0,-1.2,81,EU,,54.69,25.28,,,,,,,,,,,,,,,,,,,,,
Vilnius,Lithuania,"607,667",Balanced,City Wide,54.2,17.1,102%,97%,71.6,2.8,81,EU,,54.69,25.28,,,,,,,,,,,,,,,,,,,,,
Vilnius,Lithuania,"607,667",Balanced,Best Area,71.3,0.7,99%,101%,72.0,-1.2,81,EU,,54.69,25.28,,,,,,,,,,,,,,,,,,,,,
Vilnius,Lithuania,"607,667",Destination,City Wide,52.7,19.2,102%,97%,72.1,2.8,81,EU,,54.69,25.28,,,,,,,,,,,,,,,,,,,,,
Vilnius,Lithuania,"607,667",Destination,Best Area,71.9,0.6,99%,101%,72.5,-1.2,81,EU,,54.69,25.28,,,,,,,,,,,,,,,,,,,,,
Mexico City,Mexico,"8,913,652",Infrastructure,City Wide,41.8,22.1,89%,110%,64.6,-9.9,55,NA,,19.43,-99.13,,,,,,,,,,,,,,,,,,,,,
Mexico City,Mexico,"8,913,652",Infrastructure,Best Area,63.9,1.8,90%,109%,65.7,-13.9,55,NA,,19.43,-99.13,,,,,,,,,,,,,,,,,,,,,
Mexico City,Mexico,"8,913,652",Balanced,City Wide,46.9,24.2,89%,110%,71.8,-9.9,55,NA,,19.43,-99.13,,,,,,,,,,,,,,,,,,,,,
Mexico City,Mexico,"8,913,652",Balanced,Best Area,71.1,1.4,90%,109%,72.5,-13.9,55,NA,,19.43,-99.13,,,,,,,,,,,,,,,,,,,,,
Mexico City,Mexico,"8,913,652",Destination,City Wide,51.7,26.1,89%,110%,78.3,-9.9,55,NA,,19.43,-99.13,,,,,,,,,,,,,,,,,,,,,
Mexico City,Mexico,"8,913,652",Destination,Best Area,77.8,1.0,90%,109%,78.8,-13.9,55,NA,,19.43,-99.13,,,,,,,,,,,,,,,,,,,,,
Guadalajara,Mexico,"1,445,006",Infrastructure,City Wide,56.1,9.9,91%,109%,66.3,-10.9,29,NA,,20.68,-103.34,,,,,,,,,,,,,,,,,,,,,
Guadalajara,Mexico,"1,445,006",Infrastructure,Best Area,66.0,0.8,93%,107%,66.8,-9.7,29,NA,,20.68,-103.34,,,,,,,,,,,,,,,,,,,,,
Guadalajara,Mexico,"1,445,006",Balanced,City Wide,61.7,9.3,91%,109%,71.2,-10.9,29,NA,,20.68,-103.34,,,,,,,,,,,,,,,,,,,,,
Guadalajara,Mexico,"1,445,006",Balanced,Best Area,71.0,0.6,93%,107%,71.6,-9.7,29,NA,,20.68,-103.34,,,,,,,,,,,,,,,,,,,,,
Guadalajara,Mexico,"1,445,006",Destination,City Wide,67.0,8.7,91%,109%,75.9,-10.9,29,NA,,20.68,-103.34,,,,,,,,,,,,,,,,,,,,,
Guadalajara,Mexico,"1,445,006",Destination,Best Area,75.7,0.4,93%,107%,76.1,-9.7,29,NA,,20.68,-103.34,,,,,,,,,,,,,,,,,,,,,
Cambridge,UK,"151,138",Infrastructure,City Wide,71.6,0.3,102%,98%,71.9,2.2,82,EU,,52.21,0.12,,,,,,,,,,,,,,,,,,,,,
Cambridge,UK,"151,138",Infrastructure,Best Area,71.9,0.1,102%,98%,72.0,2.2,82,EU,,52.21,0.12,,,,,,,,,,,,,,,,,,,,,
Cambridge,UK,"151,138",Balanced,City Wide,70.5,0.3,102%,98%,70.8,2.2,82,EU,,52.21,0.12,,,,,,,,,,,,,,,,,,,,,
Cambridge,UK,"151,138",Balanced,Best Area,70.8,0.1,102%,98%,70.9,2.2,82,EU,,52.21,0.12,,,,,,,,,,,,,,,,,,,,,
Cambridge,UK,"151,138",Destination,City Wide,69.4,0.3,102%,98%,69.7,2.2,82,EU,,52.21,0.12,,,,,,,,,,,,,,,,,,,,,
Cambridge,UK,"151,138",Destination,Best Area,69.7,0.1,102%,98%,69.8,2.2,82,EU,,52.21,0.12,,,,,,,,,,,,,,,,,,,,,
Lujiazui (Shanghai),China,"126,000",Infrastructure,City Wide,74.2,0.7,106%,94%,74.9,8.1,16,Other,Yes,31.24,121.52,,,,,,,,,,,,,,,,,,,,,
Lujiazui (Shanghai),China,"126,000",Infrastructure,Best Area,74.9,0.0,106%,94%,74.9,8.5,16,Other,Yes,31.24,121.52,,,,,,,,,,,,,,,,,,,,,
Lujiazui (Shanghai),China,"126,000",Balanced,City Wide,70.3,0.5,106%,94%,70.8,8.1,16,Other,Yes,31.24,121.52,,,,,,,,,,,,,,,,,,,,,
Lujiazui (Shanghai),China,"126,000",Balanced,Best Area,70.8,0.0,106%,94%,70.8,8.5,16,Other,Yes,31.24,121.52,,,,,,,,,,,,,,,,,,,,,
Lujiazui (Shanghai),China,"126,000",Destination,City Wide,66.1,0.3,106%,94%,66.4,8.1,16,Other,Yes,31.24,121.52,,,,,,,,,,,,,,,,,,,,,
Lujiazui (Shanghai),China,"126,000",Destination,Best Area,66.4,0.1,106%,94%,66.5,8.5,16,Other,Yes,31.24,121.52,,,,,,,,,,,,,,,,,,,,,
Reykjavík,Iceland,"139,000",Infrastructure,City Wide,71.8,3.9,107%,92%,75.7,10.1,99,EU,,64.15,-21.94,,,,,,,,,,,,,,,,,,,,,
Reykjavík,Iceland,"139,000",Infrastructure,Best Area,75.7,0.2,107%,93%,75.9,10.2,99,EU,,64.15,-21.94,,,,,,,,,,,,,,,,,,,,,
Reykjavík,Iceland,"139,000",Balanced,City Wide,66.9,3.9,107%,92%,70.8,10.1,99,EU,,64.15,-21.94,,,,,,,,,,,,,,,,,,,,,
Reykjavík,Iceland,"139,000",Balanced,Best Area,70.8,0.1,107%,93%,70.9,10.2,99,EU,,64.15,-21.94,,,,,,,,,,,,,,,,,,,,,
Reykjavík,Iceland,"139,000",Destination,City Wide,61.7,3.8,107%,92%,65.5,10.1,99,EU,,64.15,-21.94,,,,,,,,,,,,,,,,,,,,,
Reykjavík,Iceland,"139,000",Destination,Best Area,65.5,0.1,107%,93%,65.6,10.2,99,EU,,64.15,-21.94,,,,,,,,,,,,,,,,,,,,,
Szczecin,Poland,"400,000",Infrastructure,City Wide,56.2,12.1,98%,102%,70.4,-1.8,88,EU,,53.43,14.55,,,,,,,,,,,,,,,,,,,,,
Szczecin,Poland,"400,000",Infrastructure,Best Area,68.3,2.6,97%,103%,70.9,-4.4,88,EU,,53.43,14.55,,,,,,,,,,,,,,,,,,,,,
Szczecin,Poland,"400,000",Balanced,City Wide,57.1,13.4,98%,102%,72.1,-1.8,88,EU,,53.43,14.55,,,,,,,,,,,,,,,,,,,,,
Szczecin,Poland,"400,000",Balanced,Best Area,70.5,1.8,97%,103%,72.3,-4.4,88,EU,,53.43,14.55,,,,,,,,,,,,,,,,,,,,,
Szczecin,Poland,"400,000",Destination,City Wide,58.0,14.7,98%,102%,73.7,-1.8,88,EU,,53.43,14.55,,,,,,,,,,,,,,,,,,,,,
Szczecin,Poland,"400,000",Destination,Best Area,72.7,1.1,97%,103%,73.8,-4.4,88,EU,,53.43,14.55,,,,,,,,,,,,,,,,,,,,,
The Bronx (NYC),NY,"1,472,654",Infrastructure,City Wide,57.7,6.5,96%,104%,68.9,-5.1,71,NA,Yes,40.85,-73.88,,,,,,,,,,,,,,,,,,,,,
The Bronx (NYC),NY,"1,472,654",Infrastructure,Best Area,64.2,6.8,91%,109%,71.0,-12.1,71,NA,Yes,40.85,-73.88,,,,,,,,,,,,,,,,,,,,,
The Bronx (NYC),NY,"1,472,654",Balanced,City Wide,60.3,10.0,96%,104%,76.8,-5.1,71,NA,Yes,40.85,-73.88,,,,,,,,,,,,,,,,,,,,,
The Bronx (NYC),NY,"1,472,654",Balanced,Best Area,70.3,9.0,91%,109%,79.3,-12.1,71,NA,Yes,40.85,-73.88,,,,,,,,,,,,,,,,,,,,,
The Bronx (NYC),NY,"1,472,654",Destination,City Wide,62.8,13.5,96%,104%,84.1,-5.1,71,NA,Yes,40.85,-73.88,,,,,,,,,,,,,,,,,,,,,
The Bronx (NYC),NY,"1,472,654",Destination,Best Area,76.3,10.6,91%,109%,86.9,-12.1,71,NA,Yes,40.85,-73.88,,,,,,,,,,,,,,,,,,,,,
Newcastle upon Tyne,UK,"328,821",Infrastructure,City Wide,63.4,5.0,97%,103%,68.7,-3.6,78,EU,,54.97,-1.61,,,,,,,,,,,,,,,,,,,,,
Newcastle upon Tyne,UK,"328,821",Infrastructure,Best Area,68.4,3.1,97%,103%,71.5,-3.6,78,EU,,54.97,-1.61,,,,,,,,,,,,,,,,,,,,,
Newcastle upon Tyne,UK,"328,821",Balanced,City Wide,65.2,5.0,97%,103%,70.8,-3.6,78,EU,,54.97,-1.61,,,,,,,,,,,,,,,,,,,,,
Newcastle upon Tyne,UK,"328,821",Balanced,Best Area,70.2,3.4,97%,103%,73.6,-3.6,78,EU,,54.97,-1.61,,,,,,,,,,,,,,,,,,,,,
Newcastle upon Tyne,UK,"328,821",Destination,City Wide,67.0,5.0,97%,103%,72.2,-3.6,78,EU,,54.97,-1.61,,,,,,,,,,,,,,,,,,,,,
Newcastle upon Tyne,UK,"328,821",Destination,Best Area,72.0,3.5,97%,103%,75.5,-3.6,78,EU,,54.97,-1.61,,,,,,,,,,,,,,,,,,,,,
Salt Lake City,UT,"203,888",Infrastructure,City Wide,66.8,4.7,102%,98%,72.0,2.5,81,NA,,40.76,-111.89,,,,,,,,,,,,,,,,,,,,,
Salt Lake City,UT,"203,888",Infrastructure,Best Area,71.5,0.9,102%,98%,72.4,2.8,81,NA,,40.76,-111.89,,,,,,,,,,,,,,,,,,,,,
Salt Lake City,UT,"203,888",Balanced,City Wide,65.6,4.5,102%,98%,70.4,2.5,81,NA,,40.76,-111.89,,,,,,,,,,,,,,,,,,,,,
Salt Lake City,UT,"203,888",Balanced,Best Area,70.1,0.5,102%,98%,70.6,2.8,81,NA,,40.76,-111.89,,,,,,,,,,,,,,,,,,,,,
Salt Lake City,UT,"203,888",Destination,City Wide,64.3,4.4,102%,98%,68.8,2.5,81,NA,,40.76,-111.89,,,,,,,,,,,,,,,,,,,,,
Salt Lake City,UT,"203,888",Destination,Best Area,68.7,0.4,102%,98%,69.1,2.8,81,NA,,40.76,-111.89,,,,,,,,,,,,,,,,,,,,,
Waitemata (Auckland),New Zealand,"89,000",Infrastructure,City Wide,64.2,1.8,94%,106%,66.2,-7.9,97,Other,Yes,-36.85,174.75,,,,,,,,,,,,,,,,,,,,,
Waitemata (Auckland),New Zealand,"89,000",Infrastructure,Best Area,66.0,0.3,94%,106%,66.3,-7.9,97,Other,Yes,-36.85,174.75,,,,,,,,,,,,,,,,,,,,,
Waitemata (Auckland),New Zealand,"89,000",Balanced,City Wide,68.3,1.7,94%,106%,70.2,-7.9,97,Other,Yes,-36.85,174.75,,,,,,,,,,,,,,,,,,,,,
Waitemata (Auckland),New Zealand,"89,000",Balanced,Best Area,70.0,0.4,94%,106%,70.4,-7.9,97,Other,Yes,-36.85,174.75,,,,,,,,,,,,,,,,,,,,,
Waitemata (Auckland),New Zealand,"89,000",Destination,City Wide,72.1,1.8,94%,106%,73.9,-7.9,97,Other,Yes,-36.85,174.75,,,,,,,,,,,,,,,,,,,,,
Waitemata (Auckland),New Zealand,"89,000",Destination,Best Area,73.9,0.3,94%,106%,74.2,-7.9,97,Other,Yes,-36.85,174.75,,,,,,,,,,,,,,,,,,,,,
Graz,Austria,"310,000",Infrastructure,City Wide,59.5,4.3,93%,107%,64.2,-8.8,68,EU,,47.07,15.44,,,,,,,,,,,,,,,,,,,,,
Graz,Austria,"310,000",Infrastructure,Best Area,63.8,1.5,92%,108%,65.3,-11.4,68,EU,,47.07,15.44,,,,,,,,,,,,,,,,,,,,,
Graz,Austria,"310,000",Balanced,City Wide,64.0,5.7,93%,107%,70.2,-8.8,68,EU,,47.07,15.44,,,,,,,,,,,,,,,,,,,,,
