City/municipality,State/ Country,Population,Focus,Aggregation,Average Score,Disparity,Infra ratio,Dest ratio,Highest Point,Focus Disparity,Accuracy Score,Continent,Subdivision,latitude,longitude,Safe Area (sq mi),Bike Network (mi),Bike Network %,Bike Paths (mi),Bike Paths %,Bike Lanes (mi),Bike Lanes %,Friendly (mi),Friendly %,Shared Road %,Other %,Total Network,Destinations,Bike Parking,Destination Score,Bad Ints  / mi,Furthest Reach #1 (mi),Furthest Reach #2 (mi),Furthest Reach #3 (mi),PFB rank dif,Copenhagen rank dif
The Hague,Netherlands,"601,291",Destination,City Wide,92.0,1.9,103%,97%,94.4,4.8,79,EU,,52.08,4.31,219,1576,0.404,1463,0.349,113,0.027,1737,0.415,0.14,0.068,4185,15664,3145,21875,0.7,16.3,13.7,12.3,-1,7
The Hague,Netherlands,"601,291",Destination,Best Area,93.9,0.8,103%,97%,94.7,5.4,79,EU,,52.08,4.31,254,1842,0.399,1715,0.347,127,0.026,2071,0.419,0.143,0.066,4945,18430,3634,25850,0.6,15.6,14.0,12.8,-2,7
Rotterdam,Netherlands,"695,468",Infrastructure,City Wide,98.3,1.5,104%,96%,100.0,6.8,78,EU,,51.92,4.48,247,1801,0.399,1701,0.354,100,0.021,1972,0.41,0.154,0.062,4810,14082,2830,20169,0.7,14.4,13.8,13.1,54,27
Rotterdam,Netherlands,"695,468",Infrastructure,Best Area,99.8,0.9,103%,97%,100.7,6.6,78,EU,,51.92,4.48,269,1958,0.397,1846,0.351,112,0.021,2164,0.411,0.155,0.062,5261,16355,3312,23265,0.7,14.5,14.1,13.5,54,26
Rotterdam,Netherlands,"695,468",Balanced,City Wide,94.9,1.6,104%,96%,96.8,6.8,78,EU,,51.92,4.48,247,1800,0.399,1700,0.354,100,0.021,1970,0.41,0.153,0.062,4806,14114,2833,20214,0.7,14.3,13.8,13.1,53,26
Rotterdam,Netherlands,"695,468",Balanced,Best Area,96.5,1.1,103%,97%,97.6,6.6,78,EU,,51.92,4.48,267,1954,0.397,1843,0.351,112,0.021,2162,0.412,0.154,0.062,5252,16605,3333,23583,0.7,14.4,14.0,13.4,52,25
Rotterdam,Netherlands,"695,468",Destination,City Wide,91.5,1.7,104%,96%,93.5,6.8,78,EU,,51.92,4.48,246,1796,0.399,1696,0.354,100,0.021,1967,0.41,0.153,0.062,4795,14162,2852,20286,0.7,14.3,13.7,13.0,51,24
Rotterdam,Netherlands,"695,468",Destination,Best Area,93.2,1.1,103%,97%,94.3,6.6,78,EU,,51.92,4.48,264,1936,0.397,1825,0.351,112,0.021,2144,0.412,0.154,0.062,5202,16910,3400,23986,0.7,14.2,13.8,13.1,50,24
Stockholm,Sweden,"985,000",Infrastructure,City Wide,98.2,1.7,104%,96%,100.1,7.2,68,EU,,59.33,18.07,239,1567,0.411,1540,0.327,27,0.006,1636,0.347,0.129,0.192,4717,13027,2815,17878,0.2,15.5,13.8,12.2,,15
Stockholm,Sweden,"985,000",Infrastructure,Best Area,99.9,1.2,104%,96%,101.1,8.3,68,EU,,59.33,18.07,266,1695,0.406,1668,0.321,27,0.005,1801,0.346,0.132,0.196,5202,13323,2907,18343,0.2,15.9,14.2,13.5,,16
