City/municipality,State/ Country,Population,Focus,Aggregation,Average Score,Disparity,Infra ratio,Dest ratio,Highest Point,Focus Disparity,Safe Area (sq mi),Bike Network (mi),Bike Network %,Bike Paths (mi),Bike Paths %,Bike Lanes (mi),Bike Lanes %,Friendly (mi),Friendly %,Shared Road (miles),Shared Road %,Other (miles),Other %,Total Network,Destinations,Bike Parking,Destination Score,Bad Ints  / mi,Furthest Reach #1 (mi),Furthest Reach #2 (mi),Furthest Reach #3 (mi),PFB rank dif,Copenhagen rank dif
Rotterdam,Netherlands,695468.0,Destination,City Wide,93.0,1.0,102%,97%,95.0,5.0,294.0,2491.0,,2021.0,,128.0,,343.0,,,,377.4,,5808.0,18521.0,3608.0,25924.0,,16.9,15.6,14.4,40.0,23.0
Rotterdam,Netherlands,695468.0,Destination,Best Area,94.0,1.0,103%,96%,95.0,7.0,311.0,2610.0,,2112.0,,136.0,,363.0,,,,,,6120.0,19348.0,3803.0,27063.0,,16.9,15.9,14.8,,21.0
Stockholm,Sweden,985000.0,Infrastructure,City Wide,98.2,1.7,104%,96%,100.1,7.2,239.0,1567.0,0.411,1540.0,0.327,,0.006,1636.0,0.347,606.20,0.129,906.5,,4717.0,13027.0,2815.0,17878.0,0.2,15.5,13.8,12.2,,15.0
Stockholm,Sweden,985000.0,Infrastructure,Best Area,99.9,1.2,104%,96%,101.1,8.3,266.0,1695.0,0.406,1668.0,0.321,,,1801.0,0.346,,0.132,1021.7,,5202.0,13323.0,,18343.0,0.2,15.9,14.2,13.5,,14.0
Stockholm,Sweden,985000.0,Balanced,City Wide,94.7,1.2,104%,96%,96.0,7.2,239.0,1567.0,0.411,1540.0,0.327,,,1636.0,0.347,606.20,0.129,906.5,,4717.0,13027.0,2815.0,17878.0,0.2,15.5,13.8,12.2,,13.0
Stockholm,Sweden,985000.0,Balanced,Best Area,95.9,0.8,104%,96%,96.7,8.3,266.0,1695.0,0.406,1668.0,0.321,,,1801.0,0.346,684.70,0.132,1021.7,,5202.0,13323.0,,18343.0,0.2,15.9,14.2,13.5,,13.0
Stockholm,Sweden,985000.0,Destination,City Wide,91.0,0.6,104%,96%,91.7,7.2,238.0,1567.0,0.411,1540.0,0.327,,,1635.0,0.347,606.10,0.129,907.8,,4716.0,13028.0,2815.0,17879.0,0.2,15.5,13.8,12.2,,12.0
Stockholm,Sweden,985000.0,Destination,Best Area,91.6,0.5,104%,96%,92.1,8.3,265.0,1697.0,0.406,1670.0,0.321,,0.005,1800.0,0.346,,0.131,1021.4,,5201.0,13344.0,,18372.0,0.2,15.9,14.2,13.5,,10.0
Copenhagen Municipality,Denmark,667000.0,Infrastructure,City Wide,96.0,1.9,103%,97%,98.2,5.9,222.0,1569.0,0.474,1521.0,0.368,,,,,,,827.0,,4134.0,12289.0,4747.0,16970.0,,17.5,16.5,10.0,,
Copenhagen Municipality,Denmark,667000.0,Infrastructure,Best Area,97.9,1.5,104%,96%,99.4,7.1,251.0,1713.0,0.47,1658.0,0.358,,,,,,,981.9,,4627.0,12654.0,4816.0,17490.0,,17.9,17.0,11.4,,
Copenhagen Municipality,Denmark,667000.0,Balanced,City Wide,93.1,1.3,103%,97%,94.6,5.9,222.0,1568.0,0.474,1521.0,0.368,,,,,,,826.7,,4132.0,12289.0,4747.0,16970.0,,17.5,16.6,10.0,,-5.0
Copenhagen Municipality,Denmark,667000.0,Balanced,Best Area,94.4,1.1,104%,96%,95.5,7.1,251.0,1713.0,0.47,1658.0,0.358,,,,,,,981.9,,4627.0,12654.0,4816.0,17490.0,,17.9,17.0,11.4,,
Copenhagen Municipality,Denmark,667000.0,Destination,City Wide,90.1,0.7,103%,97%,90.9,5.9,222.0,1568.0,0.474,1521.0,0.368,,,,,,,826.7,,4132.0,12289.0,4747.0,16970.0,,17.5,16.6,10.0,,-8.0
Copenhagen Municipality,Denmark,667000.0,Destination,Best Area,90.8,0.6,104%,96%,91.4,7.1,251.0,1713.0,0.47,1658.0,0.358,,,,,,,981.9,,4627.0,12654.0,4816.0,17490.0,,17.9,17.0,11.4,,-9.0
Vienna,Austria,2020320.0,Infrastructure,City Wide,88.2,2.1,97%,103%,90.6,-6.1,162.0,579.0,,479.0,,100.0,,1173.0,0.438,,0.15,526.2,,2681.0,21535.0,7645.0,31693.0,,13.5,11.3,9.6,,
Vienna,Austria,2020320.0,Infrastructure,Best Area,90.3,0.7,98%,102%,91.0,-4.6,192.0,,,,,104.0,,1337.0,0.428,,0.151,706.3,,3124.0,21996.0,7786.0,32383.0,,,12.4,11.3,,
Vienna,Austria,2020320.0,Balanced,City Wide,91.3,1.3,97%,103%,92.8,-6.1,162.0,580.0,,480.0,,100.0,,1175.0,0.438,,0.15,527.6,,2685.0,21553.0,7647.0,31722.0,,13.4,11.2,9.6,,7.0
Vienna,Austria,2020320.0,Balanced,Best Area,92.6,0.4,98%,102%,93.0,-4.6,191.0,,,,,104.0,,1336.0,0.428,,0.151,703.9,,3121.0,22014.0,7790.0,32410.0,,,12.5,11.3,,7.0
Vienna,Austria,2020320.0,Destination,City Wide,94.3,0.6,97%,103%,94.9,-6.1,162.0,580.0,,480.0,,100.0,,1175.0,0.437,,0.15,529.3,,2687.0,21578.0,7647.0,31760.0,,13.4,11.2,9.5,,12.0
Vienna,Austria,2020320.0,Destination,Best Area,94.9,0.2,98%,102%,95.1,-4.6,190.0,,,,,104.0,,1336.0,0.429,,0.151,698.1,,3115.0,22080.0,7807.0,32500.0,,,12.4,11.1,,11.0
Amsterdam,Netherlands,867612.0,Infrastructure,City Wide,90.6,2.9,101%,99%,93.7,1.5,138.0,1059.0,0.442,988.0,0.375,71.0,,1072.0,0.407,,0.101,,,2634.0,12616.0,3948.0,17398.0,,12.3,11.1,10.2,,-5.0
Amsterdam,Netherlands,867612.0,Infrastructure,Best Area,93.5,0.5,102%,98%,94.0,3.0,171.0,1283.0,0.433,1186.0,0.364,97.0,,1321.0,0.406,,0.111,,,3256.0,14144.0,4351.0,19452.0,,,12.5,11.5,,-5.0
Amsterdam,Netherlands,867612.0,Balanced,City Wide,89.8,2.2,101%,99%,92.2,1.5,138.0,1058.0,0.442,987.0,0.375,71.0,,1070.0,0.407,,0.101,,,2631.0,12627.0,3947.0,17410.0,,12.3,11.1,10.2,,-5.0
Amsterdam,Netherlands,867612.0,Balanced,Best Area,92.0,0.4,102%,98%,92.4,3.0,171.0,1283.0,0.433,1186.0,0.364,97.0,,1321.0,0.406,,0.111,,,3256.0,14144.0,4351.0,19452.0,,,12.5,11.5,,
Amsterdam,Netherlands,867612.0,Destination,City Wide,89.1,1.4,101%,99%,90.6,1.5,138.0,1058.0,0.442,987.0,0.375,71.0,,1071.0,0.407,,0.101,,,2631.0,12628.0,3948.0,17411.0,,12.3,11.1,10.2,,-7.0
Amsterdam,Netherlands,867612.0,Destination,Best Area,90.5,0.2,102%,98%,90.7,3.0,171.0,1283.0,0.433,1186.0,0.364,97.0,,1321.0,0.406,,0.111,,,3256.0,14144.0,4351.0,19452.0,,,12.5,11.5,,-8.0
Antwerp,Belgium,577496.0,Infrastructure,City Wide,91.0,2.8,102%,98%,93.8,2.8,146.0,915.0,,762.0,,,,,,,,,,2261.0,7646.0,,10936.0,,13.5,11.0,9.7,,16.0
Antwerp,Belgium,577496.0,Infrastructure,Best Area,93.8,0.6,102%,98%,94.4,3.7,182.0,1077.0,,892.0,,,,,,,,,,2749.0,,,,,,12.2,11.5,,16.0
Antwerp,Belgium,577496.0,Balanced,City Wide,89.6,2.4,102%,98%,92.0,2.8,146.0,915.0,,762.0,,,,,,,,,,2261.0,7646.0,,10936.0,,13.5,11.0,9.7,,14.0
Antwerp,Belgium,577496.0,Balanced,Best Area,92.0,0.5,102%,98%,92.5,3.7,182.0,1077.0,,892.0,,,,,,,,,,2749.0,,,,,,12.2,11.5,,15.0
Antwerp,Belgium,577496.0,Destination,City Wide,88.2,1.9,102%,98%,90.1,2.8,146.0,915.0,,762.0,,,,,,,,,,2261.0,7646.0,,10936.0,,13.5,11.0,9.7,,11.0
Antwerp,Belgium,577496.0,Destination,Best Area,90.1,0.3,102%,98%,90.4,3.7,181.0,1075.0,,890.0,,,,,,,,,,2740.0,,,,,,12.5,11.6,,9.0
Brussels,Belgium,511838.0,Infrastructure,City Wide,88.1,2.3,98%,102%,90.7,-2.8,158.0,744.0,,629.0,0.251,115.0,0.046,946.0,0.378,507.50,0.203,,,2503.0,15235.0,7534.0,23066.0,,12.8,10.3,9.3,,32.0
Brussels,Belgium,511838.0,Infrastructure,Best Area,90.4,0.4,99%,101%,90.8,-1.5,188.0,841.0,,719.0,0.251,123.0,0.043,1017.0,0.355,,0.216,,,2866.0,15964.0,7832.0,24134.0,,,11.3,10.1,,31.0
Brussels,Belgium,511838.0,Balanced,City Wide,89.5,1.6,98%,102%,91.3,-2.8,158.0,744.0,,629.0,0.251,115.0,0.046,946.0,0.378,,0.203,,,2503.0,15235.0,7534.0,23066.0,,12.8,10.3,9.3,,35.0
Brussels,Belgium,511838.0,Balanced,Best Area,91.1,0.3,99%,101%,91.4,-1.5,187.0,839.0,,717.0,0.25,122.0,0.043,1025.0,0.358,,0.215,,,2862.0,16017.0,7864.0,24222.0,,,11.3,10.0,,33.0
Brussels,Belgium,511838.0,Destination,City Wide,90.9,1.0,98%,102%,92.0,-2.8,157.0,741.0,,626.0,0.25,116.0,0.046,954.0,0.382,,0.201,,,2499.0,15284.0,7575.0,23163.0,,12.8,10.2,9.4,,38.0
