City/municipality,State/ Country,Population,Focus,Aggregation,Average Score,Disparity,Infra ratio,Dest ratio,Highest Point,Focus Disparity,Safe Area (sq mi),Bike Network (mi),Bike Network %,Bike Paths (mi),Bike Paths %,Bike Lanes (mi),Bike Lanes %,Friendly (mi),Friendly %,Shared Road (miles),Shared Road %,Other (miles),Other %,Total Network,Destinations,Bike Parking,Destination Score,Bad Ints  / mi,Furthest Reach #1 (mi),Furthest Reach #2 (mi),Furthest Reach #3 (mi),PFB rank dif,Copenhagen rank dif
Cambridge,MA,117794.0,Infrastructure,City Wide,71.6,0.5,95%,105%,72.2,-7.9,,,,,,109.0,0.081,,,770.50,,,,,7195.0,,10257.0,,,,,,
Cambridge,MA,117794.0,Infrastructure,Best Area,72.1,0.3,95%,105%,72.4,-7.6,,,,,,115.0,0.08,,,839.00,,,,,,,,,,,,,
Cambridge,MA,117794.0,Balanced,City Wide,75.6,0.4,95%,105%,76.0,-7.9,,,,,,109.0,0.081,,,770.50,,,,,7195.0,,10257.0,,,,,,
Cambridge,MA,117794.0,Balanced,Best Area,76.0,0.1,95%,105%,76.1,-7.6,,,,,,115.0,0.08,,,839.00,,,,,,,,,,,,,
Cambridge,MA,117794.0,Destination,City Wide,79.5,0.2,95%,105%,79.7,-7.9,,,,,,109.0,0.082,,,763.30,,,,,7187.0,,10248.0,,,,,,
Cambridge,MA,117794.0,Destination,Best Area,79.7,0.1,95%,105%,79.8,-7.6,,,,,,114.0,0.08,,,827.80,,,,,,,,,,,,,
Bologna,Italy,394608.0,Infrastructure,City Wide,72.1,2.5,96%,104%,74.8,-5.8,,,,,,,,,,,,,,,,,,,,,,-28.0,
Bologna,Italy,394608.0,Infrastructure,Best Area,74.6,0.4,96%,104%,75.0,-5.9,,,,,,,,,,,,,,,,,,,,,,-36.0,-12.0
Bologna,Italy,394608.0,Balanced,City Wide,75.0,2.6,96%,104%,77.6,-5.8,,,,,,,,,,,,,,,,,,,,,,-23.0,
Bologna,Italy,394608.0,Balanced,Best Area,77.6,0.3,96%,104%,77.9,-5.9,,,,,,,,,,,,,,,,,,,,,,-31.0,-11.0
Bologna,Italy,394608.0,Destination,City Wide,77.9,2.6,96%,104%,80.5,-5.8,,,,,,,,,,,,,,,,,,,,,,-22.0,
Bologna,Italy,394608.0,Destination,Best Area,80.5,0.1,96%,104%,80.6,-5.9,,,,,,,,,,,,,,,,,,,,,,-29.0,-11.0
Cambridge,United Kingdom,151138.0,Infrastructure,City Wide,75.0,0.2,101%,99%,75.2,1.9,,,0.397,,0.296,,,,,,,,,,,,,,,,,,
Cambridge,United Kingdom,151138.0,Infrastructure,Best Area,75.2,0.2,101%,99%,75.4,1.9,,,0.395,,0.292,,,,,,,,,,,,,,,,,-35.0,
Cambridge,United Kingdom,151138.0,Balanced,City Wide,74.0,0.2,101%,99%,74.3,1.9,,,0.397,,0.295,,,,,,,,,,,,,,,9.5,7.9,-27.0,
Cambridge,United Kingdom,151138.0,Balanced,Best Area,74.2,0.1,101%,99%,74.3,1.9,,,0.397,,0.295,,,,,,,,,,,,,,,,,-50.0,
Cambridge,United Kingdom,151138.0,Destination,City Wide,73.1,0.2,101%,99%,73.3,1.9,,,0.398,,0.296,,,,,,,,,,,,,,,9.5,7.8,-35.0,
Cambridge,United Kingdom,151138.0,Destination,Best Area,73.3,0.1,101%,99%,73.4,1.9,,,0.399,,0.297,,,,,,,,,,,,,,,,,-55.0,
Edinburgh,UK,509072.0,Infrastructure,City Wide,70.0,4.6,95%,105%,75.3,-6.8,,,,,,,,,,,,,,,,,,0.1,,,,-26.0,
Edinburgh,UK,509072.0,Infrastructure,Best Area,74.6,4.0,96%,104%,78.6,-6.2,,,,,,,,,,,,,,,,,,0.1,,,,-28.0,
Edinburgh,UK,509072.0,Balanced,City Wide,73.4,4.2,95%,105%,78.1,-6.8,,,,,,,,,,,,,,,,,,0.1,,,,,
Edinburgh,UK,509072.0,Balanced,Best Area,77.6,2.9,96%,104%,80.5,-6.2,,,,,,,,,,,,,,,,,,0.1,,,,-23.0,
Edinburgh,UK,509072.0,Destination,City Wide,76.8,4.0,95%,105%,80.8,-6.8,,,,,,,,,,,,,,,,,,0.1,,,,,
Edinburgh,UK,509072.0,Destination,Best Area,80.8,1.5,96%,104%,82.3,-6.2,,,,,,,,,,,,,,,,,,0.1,,,,-17.0,
Salzburg,Austria,157659.0,Infrastructure,City Wide,72.2,1.6,99%,101%,74.0,-1.9,,,,,,,,,,,,,,,,,,0.3,,,,,
Salzburg,Austria,157659.0,Infrastructure,Best Area,73.8,0.8,99%,101%,74.6,-1.4,,,,,,,,,,,,,,,,,,,,,,,
Salzburg,Austria,157659.0,Balanced,City Wide,73.2,1.3,99%,101%,74.6,-1.9,,,,,,,,,,,,,,,,,,0.3,,,,,
Salzburg,Austria,157659.0,Balanced,Best Area,74.5,0.6,99%,101%,75.1,-1.4,,,,,,,,,,,,,,,,,,,,,,,
Salzburg,Austria,157659.0,Destination,City Wide,74.1,1.1,99%,101%,75.2,-1.9,,,,,,,,,,,,,,,,,,,,,,,
Salzburg,Austria,157659.0,Destination,Best Area,75.2,0.4,99%,101%,75.6,-1.4,,,,,,,,,,,,,,,,,,,,,,,
Winterthur,Switzerland,120000.0,Infrastructure,City Wide,74.2,1.2,102%,98%,75.7,2.9,,,0.496,,0.078,,,,,,0.269,329.7,0.467,,,,,0.3,,,,,
Winterthur,Switzerland,120000.0,Infrastructure,Best Area,75.4,0.4,102%,98%,75.8,3.5,,,0.485,,0.073,,,,,,0.266,,0.484,,,,,,,,,,
Winterthur,Switzerland,120000.0,Balanced,City Wide,72.7,1.0,102%,98%,73.9,2.9,,,0.495,,0.078,,,,,,0.269,331.6,0.468,,,,,,,,,,
Winterthur,Switzerland,120000.0,Balanced,Best Area,73.7,0.3,102%,98%,74.0,3.5,,,0.485,,0.073,,,,,,0.266,,0.484,,,,,,,,,,
Winterthur,Switzerland,120000.0,Destination,City Wide,71.3,0.6,102%,98%,72.0,2.9,,,0.495,,0.078,,,,,,0.269,331.6,0.468,,,,,,,,,,
Winterthur,Switzerland,120000.0,Destination,Best Area,71.9,0.2,102%,98%,72.1,3.5,,,0.488,,0.074,,,,,,0.266,,0.481,,,,,,,,,,
Bratislava,Slovakia,479389.0,Infrastructure,City Wide,72.0,7.1,100%,100%,79.6,-0.6,,,,,,,,,,,,,0.444,,,,,,,,,,
Bratislava,Slovakia,479389.0,Infrastructure,Best Area,79.1,1.4,97%,103%,80.5,-4.3,,,,,,,,,,,,,,,,,,0.2,14.8,,,,
Bratislava,Slovakia,479389.0,Balanced,City Wide,72.3,9.0,100%,100%,81.7,-0.6,,,,,,,,,,,,,0.446,,,,,0.2,,,,,
Bratislava,Slovakia,479389.0,Balanced,Best Area,81.3,1.1,97%,103%,82.4,-4.3,,,,,,,,,,,,,,,,,,0.2,14.8,,,,
Bratislava,Slovakia,479389.0,Destination,City Wide,72.6,10.8,100%,100%,83.7,-0.6,,,,,,,,,,,,,0.441,,,,,0.2,,,,,
Bratislava,Slovakia,479389.0,Destination,Best Area,83.4,0.8,97%,103%,84.2,-4.3,,,,,,,,,,,,,,,,,,,14.9,,,,
Innsbruck,Austria,132188.0,Infrastructure,City Wide,68.7,2.4,95%,105%,71.2,-7.0,,,,,,,,,,,,,,,,,,0.1,,,,,
Innsbruck,Austria,132188.0,Infrastructure,Best Area,71.1,0.1,96%,104%,71.2,-6.2,,,,,,,,,,,,,,,,,,0.2,,,,,
Innsbruck,Austria,132188.0,Balanced,City Wide,72.3,2.0,95%,105%,74.3,-7.0,,,,,,,,,,,,,,,,,,0.1,,,,,
Innsbruck,Austria,132188.0,Balanced,Best Area,74.3,0.0,96%,104%,74.3,-6.2,,,,,,,,,,,,,,,,,,0.2,,,,,
Innsbruck,Austria,132188.0,Destination,City Wide,75.7,1.6,95%,105%,77.4,-7.0,,,,,,,,,,,,,,,,,,0.1,,,,,
Innsbruck,Austria,132188.0,Destination,Best Area,77.3,0.1,96%,104%,77.4,-6.2,,,,,,,,,,,,,,,,,,0.2,,,,,
Lisbon,Portugal,612893.0,Infrastructure,City Wide,66.0,2.4,92%,108%,68.7,-11.6,,,,,,,,,,,,,,,,,,4.0,,,,,11.0
Lisbon,Portugal,612893.0,Infrastructure,Best Area,68.4,1.0,91%,108%,69.4,-12.4,,,,,,,,,,,,,,,,,,,,,,-41.0,
Lisbon,Portugal,612893.0,Balanced,City Wide,72.0,2.8,92%,108%,75.0,-11.6,,,,,,,,,,,,,,,,,,4.0,,,,,20.0
Lisbon,Portugal,612893.0,Balanced,Best Area,74.8,0.7,91%,108%,75.5,-12.4,,,,,,,,,,,,,,,,,,,,,,-17.0,
Lisbon,Portugal,612893.0,Destination,City Wide,77.6,3.2,92%,108%,80.9,-11.6,,,,,,,,,,,,,,,,,,4.2,,,,,20.0
Lisbon,Portugal,612893.0,Destination,Best Area,80.8,1.2,91%,108%,82.0,-12.4,,,,,,,,,,,,,,,,,,,,,,,12.0
Vancouver,BC,673713.0,Infrastructure,City Wide,65.5,2.3,91%,108%,68.2,-12.6,,,,,,,,,,,,,0.354,,,,,,,,,,10.0
Vancouver,BC,673713.0,Infrastructure,Best Area,67.8,1.3,92%,107%,69.1,-11.4,,,,,0.115,,,,,,,,,,,,,,,,,-32.0,
Vancouver,BC,673713.0,Balanced,City Wide,72.0,1.7,91%,108%,73.9,-12.6,,,,,,,,,,,,,0.355,,,,,,,,,,22.0
Vancouver,BC,673713.0,Balanced,Best Area,73.7,0.8,92%,107%,74.5,-11.4,,,,,0.113,,,,,,,,0.354,,,,,,,,,,
Vancouver,BC,673713.0,Destination,City Wide,78.1,1.1,91%,108%,79.4,-12.6,,,,,,,,,,,,,0.355,,,,,,,,,,24.0
Vancouver,BC,673713.0,Destination,Best Area,79.2,0.5,92%,107%,79.7,-11.4,,,,,0.111,,,,,,,,0.356,,,,,,,,,,10.0
Milan,Italy,1282154.0,Infrastructure,City Wide,67.2,7.6,94%,106%,75.8,-9.0,,,,,,,,,,,,,,,,,,,,,,,16.0
Milan,Italy,1282154.0,Infrastructure,Best Area,74.8,2.7,93%,107%,77.5,-11.1,,,,,,,,,,,,,,,,,,,,,,,10.0
Milan,Italy,1282154.0,Balanced,City Wide,71.8,8.5,94%,106%,81.3,-9.0,,,,,,,,,,,,,,,,,,,,,,,17.0
Milan,Italy,1282154.0,Balanced,Best Area,80.3,2.4,93%,107%,82.7,-11.1,,,,,,,,,,,,,,,,,,,,,,,16.0
Milan,Italy,1282154.0,Destination,City Wide,76.2,9.7,94%,106%,86.8,-9.0,,,,,,,,,,,,,,,,,,,,,,,17.0
Milan,Italy,1282154.0,Destination,Best Area,85.9,2.5,93%,107%,88.4,-11.1,,,,,,,,,,,,,,,,,,,,,,,30.0
Madrid,Spain,3406515.0,Infrastructure,City Wide,67.7,9.8,95%,105%,78.5,-7.4,,,,,,,,,,,,,,,,,,,,,,,
Madrid,Spain,3406515.0,Infrastructure,Best Area,77.5,4.4,95%,106%,81.9,-8.9,,,,,,,,,,,,,,,,,,,,,,,
Madrid,Spain,3406515.0,Balanced,City Wide,71.5,10.3,95%,105%,82.6,-7.4,,,,,,,,,,,,,,,,,,,,,,,
Madrid,Spain,3406515.0,Balanced,Best Area,81.8,4.0,95%,106%,85.8,-8.9,,,,,,,,,,,,,,,,,,,,,,,
Madrid,Spain,3406515.0,Destination,City Wide,75.1,11.3,95%,105%,87.2,-7.4,,,,,,,,,,,,,,,,,,,,,,,
Madrid,Spain,3406515.0,Destination,Best Area,86.4,3.1,95%,106%,89.5,-8.9,,,,,,,,,,,,,,,,,,,,,,,
Riga,Latvia,591882.0,Infrastructure,City Wide,72.2,4.6,101%,99%,77.4,1.4,,,,,,,,,,,,,0.397,,,,,,,,,,
Riga,Latvia,591882.0,Infrastructure,Best Area,76.8,2.8,98%,102%,79.6,-3.5,,,,,,,,,,,,,0.383,,,,,,,,,,
Riga,Latvia,591882.0,Balanced,City Wide,71.5,6.9,101%,99%,79.1,1.4,,,,,,,,,,,,,0.394,,,,,,,,,,
Riga,Latvia,591882.0,Balanced,Best Area,78.4,2.9,98%,102%,81.3,-3.5,,,,,,,,,,,,,0.38,,,,,,,,,,
Riga,Latvia,591882.0,Destination,City Wide,70.8,9.5,101%,99%,81.1,1.4,,,,,,,,,,,,,0.392,,,,,,,,,,
Riga,Latvia,591882.0,Destination,Best Area,80.3,2.6,98%,102%,82.9,-3.5,,,,,,,,,,,,,0.373,,,,,,,,,,
Seattle,WA,741440.0,Infrastructure,City Wide,67.0,5.6,94%,106%,72.9,-8.6,,,,,,,,,,,,,,,,,,0.2,,,,,
Seattle,WA,741440.0,Infrastructure,Best Area,72.6,2.7,95%,105%,75.3,-8.1,,,,,,,,,,,,,,,,,,0.2,,,,,
Seattle,WA,741440.0,Balanced,City Wide,71.4,5.3,94%,106%,77.0,-8.6,,,,,,,,,,,,,,,,,,0.2,,,,,
Seattle,WA,741440.0,Balanced,Best Area,76.7,2.1,95%,105%,78.8,-8.1,,,,,,,,,,,,,,,,,,0.2,,,,,
Seattle,WA,741440.0,Destination,City Wide,75.6,5.1,94%,106%,80.9,-8.6,,,,,,,,,,,,,,,,,,0.2,,,,,
Seattle,WA,741440.0,Destination,Best Area,80.7,1.5,95%,105%,82.2,-8.1,,,,,,,,,,684.60,,,,,,,,0.2,,,,,
Bern,Switzerland,146348.0,Infrastructure,City Wide,68.3,2.6,96%,104%,70.9,-5.9,,,0.464,,0.069,,0.08,,0.178,,,,,,,,,0.2,,,,,7.0
Bern,Switzerland,146348.0,Infrastructure,Best Area,70.9,0.3,95%,105%,71.2,-6.9,,,0.463,,0.071,,0.077,,0.18,,,,,,,,,0.2,,,,,-7.0
Bern,Switzerland,146348.0,Balanced,City Wide,71.3,3.1,96%,104%,74.5,-5.9,,,0.465,,0.069,,0.08,,0.178,,,,,,,,,0.2,,,,,6.0
Bern,Switzerland,146348.0,Balanced,Best Area,74.4,0.3,95%,105%,74.7,-6.9,,,0.463,,0.071,,0.077,,0.18,,,,,,,,,0.2,,,,,-8.0
Bern,Switzerland,146348.0,Destination,City Wide,74.2,3.6,96%,104%,77.9,-5.9,,,0.466,,0.069,,0.08,,0.179,,,,,,,,,0.2,,,,,6.0
Bern,Switzerland,146348.0,Destination,Best Area,77.8,0.5,95%,105%,78.3,-6.9,,,0.46,,0.07,,0.076,,0.18,,,,,,,,,0.2,,,,,-8.0
Dortmund,Germany,614495.0,Infrastructure,City Wide,71.5,4.3,101%,99%,76.1,1.0,,,0.446,,0.258,,0.04,,,,,,,,,,,0.2,,,,,
Dortmund,Germany,614495.0,Infrastructure,Best Area,75.8,2.1,99%,101%,77.9,-1.4,,,0.441,,0.262,,0.045,,,,,,,,,,,0.2,,,,,
Dortmund,Germany,614495.0,Balanced,City Wide,71.0,5.5,101%,99%,76.7,1.0,,,0.446,,0.258,,0.04,,,,,,,,,,,0.2,,,,,
Dortmund,Germany,614495.0,Balanced,Best Area,76.5,1.6,99%,101%,78.1,-1.4,,,0.436,,0.261,,0.046,,,,,,,,,,,0.2,,,,,
Dortmund,Germany,614495.0,Destination,City Wide,70.5,6.7,101%,99%,77.4,1.0,,,0.445,,0.258,,,,,,,,,,,,,0.2,,,,,
Dortmund,Germany,614495.0,Destination,Best Area,77.2,1.0,99%,101%,78.2,-1.4,,,0.436,,0.261,,0.046,,,,,,,,,,,0.2,,,,,
Tel Aviv,Israel,495230.0,Infrastructure,City Wide,68.5,0.6,97%,103%,69.1,-4.6,,,,,,,,,,,,,,,,,,4.5,,,,,
Tel Aviv,Israel,495230.0,Infrastructure,Best Area,69.1,0.2,97%,103%,69.3,-4.6,,,,,,,,,,,,,,,,,,,,,,,
Tel Aviv,Israel,495230.0,Balanced,City Wide,70.8,0.7,97%,103%,71.5,-4.6,,,,,,,,,,,,,,,,,,4.5,,,,,
Tel Aviv,Israel,495230.0,Balanced,Best Area,71.5,0.2,97%,103%,71.7,-4.6,,,,,,,,,,,,,,,,,,,,,,,
Tel Aviv,Israel,495230.0,Destination,City Wide,73.1,0.6,97%,103%,73.8,-4.6,,,,,,,,,,,,,,,,,,4.5,,,,,
Tel Aviv,Israel,495230.0,Destination,Best Area,73.7,0.3,97%,103%,74.0,-4.6,,,,,,,,,,,,,,,,,,,,,,,
Tirana,Albania,526017.0,Infrastructure,City Wide,64.9,0.7,92%,107%,65.8,-11.1,,,,,,,,,,,,,,,,,,,,,,,
Tirana,Albania,526017.0,Infrastructure,Best Area,65.6,0.5,92%,107%,66.1,-10.9,,,,,,,,,,,,,,,,,,,,,,,
Tirana,Albania,526017.0,Balanced,City Wide,70.7,0.5,92%,107%,71.2,-11.1,,,,,,,,,,,,,,,,,,,,,,,
Tirana,Albania,526017.0,Balanced,Best Area,71.2,0.1,92%,107%,71.3,-10.9,,,,,,,,,,,,,,,,,,,,,,,
Tirana,Albania,526017.0,Destination,City Wide,76.0,0.5,92%,107%,76.5,-11.1,,,,,,,,,,,,,,,,,,,,,,,
Tirana,Albania,526017.0,Destination,Best Area,76.5,0.1,92%,107%,76.6,-10.9,,,,,,,,,,,,,,,,,,,,,,,
Oslo,Norway,724290.0,Infrastructure,City Wide,71.4,9.7,101%,99%,81.3,1.8,,,,,,,,,,,,,,,,,,,,,,,3.0
Oslo,Norway,724290.0,Infrastructure,Best Area,81.1,1.9,99%,101%,83.0,-2.2,,,,,,,,,,,,,,,,,,,,,,,8.0
Oslo,Norway,724290.0,Balanced,City Wide,70.6,11.5,101%,99%,82.3,1.8,,,,,,,,,,,,,,,,,,,,,,,
Oslo,Norway,724290.0,Balanced,Best Area,82.1,1.6,99%,101%,83.7,-2.2,,,,,,,,,,,,,,,,,,,,,,,7.0
Oslo,Norway,724290.0,Destination,City Wide,69.6,13.7,101%,99%,83.6,1.8,,,,,,,,,,,,,,,,,,,,,,,-9.0
Oslo,Norway,724290.0,Destination,Best Area,83.3,1.1,99%,101%,84.4,-2.2,,,,,,,,,,,,,,,,,,,,,,,
Washington,DC,672079.0,Infrastructure,City Wide,66.3,6.6,94%,106%,73.6,-7.9,,,,,,,0.066,,,,,,,,,,,4.7,,,,37.0,17.0
Washington,DC,672079.0,Infrastructure,Best Area,72.9,2.9,95%,105%,75.8,-7.5,,,,,,,0.068,,,719.00,,,,,,,,4.4,,,,,11.0
Washington,DC,672079.0,Balanced,City Wide,70.3,6.4,94%,106%,77.2,-7.9,,,,,,,0.066,,,,,,,,,,,4.7,,,,53.0,19.0
Washington,DC,672079.0,Balanced,Best Area,76.7,2.2,95%,105%,78.9,-7.5,,,,,,,0.069,,,720.80,,,,,,,,,,,,51.0,12.0
Washington,DC,672079.0,Destination,City Wide,74.2,6.2,94%,106%,80.8,-7.9,,,,,,,0.066,,,,,,,,,,,4.7,,,,55.0,21.0
Washington,DC,672079.0,Destination,Best Area,80.4,1.5,95%,105%,81.9,-7.5,,,,,,,0.07,,,727.80,,,,,,,,,,,,55.0,14.0
Boston,MA,663972.0,Infrastructure,City Wide,64.5,6.8,94%,106%,71.7,-7.8,,,,,,76.0,0.093,,0.161,,,,,,,,,,,,,81.0,
Boston,MA,663972.0,Infrastructure,Best Area,71.3,0.7,94%,105%,72.0,-8.2,,,,,,110.0,0.087,,0.156,695.20,,,,,,,,,,,,84.0,
Boston,MA,663972.0,Balanced,City Wide,68.5,7.0,94%,106%,75.7,-7.8,,,,,,76.0,0.093,,0.161,,,,,,,,,,,,,95.0,
Boston,MA,663972.0,Balanced,Best Area,75.5,0.4,94%,105%,75.9,-8.2,,,,,,110.0,0.087,,0.156,695.20,,,,,,,,,,,,100.0,
Boston,MA,663972.0,Destination,City Wide,72.3,7.2,94%,106%,79.6,-7.8,,,,,,75.0,0.093,,0.162,,,,,,,,,,,,,105.0,
Boston,MA,663972.0,Destination,Best Area,79.5,0.2,94%,105%,79.7,-8.2,,,,,,110.0,0.087,,0.155,694.50,,,,,,,,,,,,105.0,
Edmonton,AB,1041160.0,Infrastructure,City Wide,72.2,8.1,103%,97%,81.2,4.4,,,,,,,,,,,,,,,,,,,,,,,
Edmonton,AB,1041160.0,Infrastructure,Best Area,80.3,1.9,102%,98%,82.2,3.5,,,,,,,,,,929.80,,594.8,,,,,,,,,,,
Edmonton,AB,1041160.0,Balanced,City Wide,70.1,8.5,103%,97%,79.1,4.4,,,,,,,,,,,,,,,,,,,,,,,
Edmonton,AB,1041160.0,Balanced,Best Area,78.6,1.8,102%,98%,80.4,3.5,,,,,,,,,,927.60,,603.5,,,,,,,,,,,
Edmonton,AB,1041160.0,Destination,City Wide,67.8,9.0,103%,97%,77.1,4.4,,,,,,,,,,,,,,,,,,,,,,,
Edmonton,AB,1041160.0,Destination,Best Area,76.8,1.8,102%,98%,78.6,3.5,,,,,,,,,,922.50,,610.7,,,,,,,,,,,
Santiago,Chile,5653259.0,Infrastructure,City Wide,66.0,1.6,94%,113%,67.6,-13.2,,,,,,,,,,,,,,,,,,,,,,,24.0
Santiago,Chile,5653259.0,Infrastructure,Best Area,67.6,0.6,91%,109%,68.2,-13.5,,,,,,,,,,,,,,,,,,,,,,,10.0
Santiago,Chile,5653259.0,Balanced,City Wide,70.0,4.6,94%,113%,74.7,-13.2,,,,,,,,,,,,,,,,,,,,,,44.0,27.0
Santiago,Chile,5653259.0,Balanced,Best Area,74.6,0.5,91%,109%,75.1,-13.5,,,,,,,,,,,,,,,,,,,,,,,17.0
Santiago,Chile,5653259.0,Destination,City Wide,79.2,1.9,94%,113%,81.2,-13.2,,,,,,,,,,,,,,,,,,,,,,59.0,36.0
Santiago,Chile,5653259.0,Destination,Best Area,81.1,0.4,91%,109%,81.5,-13.5,,,,,,,,,,,,,,,,,,,,,,53.0,26.0
Aarhus Municipality,Denmark,373388.0,Infrastructure,City Wide,73.0,8.6,104%,95%,82.2,6.4,,,0.494,,0.363,,,,,,,,,,,,,,,,,,
Aarhus Municipality,Denmark,373388.0,Infrastructure,Best Area,81.6,1.3,104%,96%,82.9,5.8,,,0.466,,0.336,,,,0.02,,,,,,,,,,,,,,
Aarhus Municipality,Denmark,373388.0,Balanced,City Wide,69.9,8.8,104%,95%,79.2,6.4,,,0.494,,0.363,,,,,,,,,,,,,,,,,,-12.0
Aarhus Municipality,Denmark,373388.0,Balanced,Best Area,78.7,1.1,104%,96%,79.8,5.8,,,0.466,,0.336,,,,0.02,,,,,,,,,,,,,,-11.0
Aarhus Municipality,Denmark,373388.0,Destination,City Wide,66.6,9.2,104%,95%,76.1,6.4,,,0.494,,0.363,,,,,,,,,,,,,,,,,,-23.0
Aarhus Municipality,Denmark,373388.0,Destination,Best Area,75.8,0.7,104%,96%,76.5,5.8,,,0.468,,0.337,,,,0.02,,,,,,,,,,,,,,-29.0
Denver,CO,713734.0,Infrastructure,City Wide,70.8,10.7,102%,99%,82.4,2.1,,,,,,,,,,,,,,,,,,,,,,64.0,
Denver,CO,713734.0,Infrastructure,Best Area,81.5,7.3,102%,99%,88.8,2.6,,,,,,,,,,707.60,,,,,,,,,15.1,12.7,9.9,88.0,
Denver,CO,713734.0,Balanced,City Wide,69.7,10.4,102%,99%,81.3,2.1,,,,,,,,,,,,,,,,,,,,,,62.0,
Denver,CO,713734.0,Balanced,Best Area,80.1,6.5,102%,99%,86.6,2.6,,,,,,,,,,718.00,,,,,,,,,15.0,12.7,9.9,74.0,
Denver,CO,713734.0,Destination,City Wide,68.7,10.2,102%,99%,80.1,2.1,,,,,,,,,,,,,,,,,,,,,,56.0,
Denver,CO,713734.0,Destination,Best Area,78.9,5.5,102%,99%,84.4,2.6,,,,,,,,,,713.00,,,,,,,,,14.9,12.6,9.8,59.0,
Odense Municipality,Denmark,185480.0,Infrastructure,City Wide,73.0,3.9,105%,95%,76.9,6.8,,,0.462,,0.337,,,,,,,,,,,,,,,,,,
Odense Municipality,Denmark,185480.0,Infrastructure,Best Area,76.9,0.5,105%,95%,77.4,7.4,,,0.436,,0.316,,,,0.021,,,,,,,,,,,,,,
Odense Municipality,Denmark,185480.0,Balanced,City Wide,69.7,3.6,105%,95%,73.3,6.8,,,0.46,,0.335,,,,,,,,,,,,,,,,,,
Odense Municipality,Denmark,185480.0,Balanced,Best Area,73.3,0.3,105%,95%,73.6,7.4,,,0.436,,0.316,,,,0.021,,,,,,,,,,,,,,
Odense Municipality,Denmark,185480.0,Destination,City Wide,66.2,3.3,105%,95%,69.5,6.8,,,0.458,,0.334,,,,,,,,,,,,,,,,,,
Odense Municipality,Denmark,185480.0,Destination,Best Area,69.5,0.6,105%,95%,70.1,7.4,,,0.446,,0.324,,,,0.021,,,,,,,,,,,,,,
Birmingham,UK,1271854.0,Infrastructure,City Wide,67.3,8.5,97%,103%,76.6,-4.4,,,,,,,,,,,,,,,,,,,,,,38.0,
Birmingham,UK,1271854.0,Infrastructure,Best Area,75.8,3.2,96%,104%,79.0,-6.1,,,,,,,,,,851.80,,,,,,,,,,,,51.0,
Birmingham,UK,1271854.0,Balanced,City Wide,69.6,9.3,97%,103%,79.4,-4.4,,,,,,,,,,,,,,,,,,,,,,44.0,
Birmingham,UK,1271854.0,Balanced,Best Area,78.9,2.7,96%,104%,81.6,-6.1,,,,,,,,,,852.20,,,,,,,,,,,,56.0,
Birmingham,UK,1271854.0,Destination,City Wide,71.7,10.2,97%,103%,82.2,-4.4,,,,,,,,,,,,,,,,,,,,,,46.0,
Birmingham,UK,1271854.0,Destination,Best Area,81.9,2.1,96%,104%,84.0,-6.1,,,,,,,,,,851.40,,,,,,,,,,,,60.0,
Seoul,South Korea,10050000.0,Infrastructure,City Wide,66.8,19.7,96%,104%,88.0,-5.1,,,,,,,,,,,,,,,,,,,,,,,
Seoul,South Korea,10050000.0,Infrastructure,Best Area,86.5,6.5,98%,102%,93.0,-3.8,,,,,,,,,,784.40,,,,,12021.0,,,,15.6,13.7,12.2,,16.0
Seoul,South Korea,10050000.0,Balanced,City Wide,69.4,19.0,96%,104%,89.7,-5.1,,,,,,,,,,,,,,,,,,,,,,,-7.0
Seoul,South Korea,10050000.0,Balanced,Best Area,88.4,6.6,98%,102%,95.0,-3.8,,,,,,,,,,783.20,,,,,,,,,15.5,13.6,12.2,,21.0
Seoul,South Korea,10050000.0,Destination,City Wide,71.9,18.4,96%,104%,91.5,-5.1,,,,,,,,,,,,,,,,,,,,,,,-6.0
Seoul,South Korea,10050000.0,Destination,Best Area,90.3,6.6,98%,102%,96.9,-3.8,,,,,,,,,,787.70,,,,,,,,,15.5,13.7,12.2,,23.0
Milton Keynes,United Kingdom,299880.0,Infrastructure,City Wide,72.0,0.3,104%,96%,72.3,5.3,,,,,,0.0,,,,650.30,,,,,,,,,,,,,
Milton Keynes,United Kingdom,299880.0,Infrastructure,Best Area,72.3,0.4,104%,96%,72.6,5.3,,,,,,0.0,,,,,,,,,,,,,,,,-35.0,
Milton Keynes,United Kingdom,299880.0,Balanced,City Wide,69.4,0.3,104%,96%,69.6,5.3,,,,,,0.0,,,,652.10,,,,,,,,,,,,-27.0,
Milton Keynes,United Kingdom,299880.0,Balanced,Best Area,69.6,0.3,104%,96%,69.9,5.3,,,,,,0.0,,,,,,,,,,,,,,,,-51.0,
Milton Keynes,United Kingdom,299880.0,Destination,City Wide,66.8,0.3,104%,96%,67.0,5.3,,,,,,0.0,,,,652.80,,,,,,,,,,,,-36.0,
Milton Keynes,United Kingdom,299880.0,Destination,Best Area,67.0,0.1,104%,96%,67.1,5.3,,,,,,0.0,,,,,,,,,,,,,,,,-55.0,
Bristol,UK,503753.0,Infrastructure,City Wide,65.5,5.4,95%,105%,71.0,-7.3,,,,,,,,,0.011,,0.706,,,,,,,,,,,,
Bristol,UK,503753.0,Infrastructure,Best Area,70.9,1.8,95%,104%,72.7,-6.6,,,,,,,,,0.009,,0.716,,,,,,,,,,,-24.0,
